,state,country,lat,long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20
157,,Mauritius,-20.2,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,26,34,40,46,79,92,100,104,125,138,155,162,179,182,213,230,253,247,284,286,282,273,273,264,250,234,207,136,111,95,76,59,56,37,27,24,22,21,16,12,10,8,7
158,,Mexico,23.6345,-102.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,4,4,4,5,5,6,6,3,4,8,22,37,49,78,89,114,159,197,245,309,359,396,465,573,701,828,969,1031,1151,1306,1425,995,1178,1416,1681,2011,2374,2614,2978,3313,2593,2839,3029,3273,3686,4204,4722,4948,5433,6017,6947,7937,9024,5388,4972,5009,3760,4644,5942,6390,7650,7870
159,,Moldova,47.4116,28.3699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,6,12,23,23,29,28,47,64,78,92,107,122,146,174,195,227,259,281,331,395,476,557,711,819,909,994,1107,1210,1353,1455,1537,1570,1760,1832,1865,1932,1930,1948,2021,2037,2143,2185,2271,2385,2417,2454,2560,2546,2599,2586,2594,2614
160,,Monaco,43.7333,7.4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,7,7,7,7,11,11,22,22,22,30,32,41,41,44,47,49,52,57,60,62,69,72,74,76,78,84,86,86,86,86,78,78,71,69,69,68,65,65,55,49,48,48,49,41,33,27,18,13,13
161,,Mongolia,46.8625,103.8467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,6,6,6,10,10,10,10,10,11,11,12,12,10,10,12,12,12,12,12,13,11,12,12,12,12,12,13,25,25,26,26,26,25,26,26,27,27,28,28,29,28,28,28,28,28,29,29
162,,Montenegro,42.5,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,14,14,21,26,46,51,68,81,83,84,90,107,121,142,171,198,211,230,235,242,246,249,256,264,266,233,229,244,243,247,248,219,207,194,188,190,161,161,125,115,112,101,82,69,65
163,,Morocco,31.7917,-7.0926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,5,5,15,26,27,35,46,60,73,90,108,136,159,212,256,311,366,440,508,557,586,633,686,794,875,959,1001,1085,1168,1219,1288,1366,1434,1545,1668,1904,2148,2234,2387,2553,2671,2880,2957,3114,3201,3311,3263,3309,3225,3269,3315,3300,3291
164,,Namibia,-22.9576,18.4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,5,5,6,6,6,9,9,9,12,11,11,11,13,13,13,13,13,13,13,13,13,13,13,12,12,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8
165,,Nepal,28.1667,84.25,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,11,13,15,15,14,28,29,27,27,39,38,38,38,37,36,36,38,41,41,43,43,59
166,Aruba,Netherlands,12.5186,-70.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,5,5,9,9,11,16,27,32,45,49,49,54,54,59,61,63,63,69,60,63,62,59,63,60,60,60,53,54,51,50,46,46,44,30,30,29,29,25,25,25,25,19,17,17,17
167,Curacao,Netherlands,12.1696,-68.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,2,2,2,3,5,5,3,5,5,5,8,8,7,7,7,5,5,7,5,6,6,6,6,5,5,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2
168,Sint Maarten,Netherlands,18.0425,-63.0548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,6,6,6,9,11,15,13,20,30,33,33,36,39,36,36,36,38,39,36,36,43,45,45,45,38,39,39,39,28,28,29,29,29,19,19,19
169,,Netherlands,52.1326,5.2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,18,24,38,82,128,188,265,321,382,503,503,804,959,1135,1413,1705,2051,2460,2994,3631,4204,4749,5559,6411,7430,8602,9761,10865,11749,12594,13613,14696,15722,16626,17850,18801,19566,20535,21742,23070,24384,25555,26519,27387,28113,29173,30404,31543,32604,33354,34081,34772,35659,36464,37119,37770,38170,38341,38727,39235,39708,40153,40488
170,,New Zealand,-40.9006,174.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,5,5,5,5,5,5,5,6,8,8,12,20,28,39,52,102,102,143,183,256,331,401,457,525,572,624,704,764,822,882,929,918,927,921,908,886,855,798,729,649,622,582,544,507,454,426,401,344,325,310,270,239,226,216,208,202,201,191
171,,Nicaragua,12.8654,-85.2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,3,3,3,4,4,4,4,4,5,5,5,5,6,6,7,4,4,4,4,4,4,1,2,2,1,1,1,1,2,3,3,3,3,4,4,4,3
172,,Niger,17.6078,8.0817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,6,9,9,9,17,24,24,69,93,115,136,161,217,241,303,359,386,439,442,442,466,480,480,499,507,511,511,510,447,391,368,332,317,287,275,246,235,217,194,196
173,,Nigeria,9.082,8.6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,7,7,11,21,28,37,41,48,62,66,85,107,121,125,163,162,181,185,194,198,204,226,230,240,238,228,242,263,267,277,317,357,436,455,455,648,753,855,925,994,1042,1233,1370,1555,1751,1952,2071
174,,North Macedonia,41.6086,21.7453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,7,7,7,13,13,13,17,25,34,47,66,84,113,133,145,173,195,213,234,250,266,308,326,356,398,446,514,517,543,553,596,638,685,753,772,778,831,914,929,957,977,971,952,931,943,932,934,825,781,761,742,650,606,572,482
175,,Norway,60.472,8.4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,15,19,25,32,56,87,108,147,176,204,399,597,701,995,1086,1217,1329,1459,1543,1738,1906,2110,2377,2610,2845,3064,3349,3730,3985,4252,4401,4589,4806,5065,5279,5456,5584,5757,5965,5953,6071,6169,6258,6365,6437,6452,6558,6712,6744,6840,6881,6943,6977,7119,7175,7232,7266,7294,7362,7422,7471,7496,7541,7566,7604
176,,Oman,21.0,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,5,5,5,10,13,14,14,14,14,14,9,9,9,10,10,13,13,15,27,36,36,40,38,49,67,82,86,108,129,144,150,157,175,173,194,214,235,268,302,345,345,372,434,486,599,679,775,839,887,998,1026,1165,1262,1368,1400,1455,1566,1655,1675,1757,1900,1842,1941,1721,1806
177,,Pakistan,30.3753,69.3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,5,5,5,6,6,5,5,15,17,18,26,29,51,134,234,297,439,485,714,766,864,947,1034,1171,1339,1454,1554,1620,1836,1997,2262,2520,2646,2899,3454,3549,3735,3852,3902,4163,4111,4308,4363,4826,5146,5125,5663,6312,6272,7291,7708,8391,8932,9588,10111,10594,11067,11757,12117,12982,13846,14513
178,,Panama,8.538,-80.7821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,26,35,42,54,68,85,108,136,199,310,339,338,434,548,663,770,880,961,1142,1142,1276,1428,1619,1742,1921,2031,2174,2449,2670,2883,3132,3284,3317,3407,3573,3809,3972,4013,4176,4318,4449,4749,4865,5041,5276,5399,5399,5673,5768,5906,6252,6252
179,,Papua New Guinea,-6.315,143.9555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8
180,,Paraguay,-23.4425,-58.4438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,6,8,9,11,11,13,17,21,21,25,34,38,48,52,55,60,61,65,72,83,81,89,96,95,99,101,105,109,106,119,130,130,136,161,159,157,154,147,142,137,136,134,134,126,128,128,143,208,241,260
181,,Peru,-9.19,-75.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,11,15,28,38,43,86,116,144,233,230,312,357,389,408,470,557,608,639,818,873,641,891,822,997,759,1209,1472,1546,2888,3680,4159,4928,5528,6926,7204,8113,6097,6648,7388,8417,8912,10371,11693,12920,13518,16834,18701,19492,21157,22951,25520,28206,28900,31092
182,,Philippines,13.0,122.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,8,18,30,46,48,57,101,127,128,170,178,192,204,275,338,412,497,572,634,718,972,1305,1426,1947,2165,2475,2830,2893,3030,3424,3503,3592,3749,3834,4024,4154,4375,4593,4751,4863,5004,5174,5278,5418,5508,5571,5797,5953,6008,6216,6334,6453,6631,6877,7109,7201,7402
183,,Poland,51.9194,19.1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,11,16,22,31,48,66,100,116,160,220,233,349,419,530,626,740,890,1030,1198,1366,1613,1833,2017,2271,2464,2833,3256,3432,3874,4144,4528,4824,5117,5456,5773,6003,6202,6321,6628,6830,7181,7414,7887,8080,8158,8230,8317,8454,8623,8817,8874,8967,8991,8997,8963,8949,9070
184,,Portugal,39.3999,-8.2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,8,13,20,30,30,41,59,59,111,167,243,328,444,443,779,1009,1263,1581,2032,2307,2930,3441,4149,5027,5800,6225,7240,8021,8757,9572,10183,10908,11279,11913,12565,13342,14804,15251,15804,16122,16534,17109,17719,17846,18388,18882,19518,19700,20054,20332,20715,21235,21632,21742,21985,22062,22537,22697,22496,22550
185,,Qatar,25.3548,51.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,8,8,8,8,15,18,24,262,262,320,333,397,435,435,448,456,460,454,461,468,485,496,506,519,544,585,641,717,762,874,979,1213,1477,1697,1901,2026,2164,2279,2475,2697,2890,3048,3298,3681,4192,4490,4922,5451,5910,6442,7004,7706,8419,9265,10168,10777,11311,12027,12648,13326,13875
186,,Romania,45.9432,24.9668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,5,8,6,12,12,22,39,43,82,114,122,149,168,241,252,283,315,366,505,704,803,912,1151,1276,1566,1835,1943,2116,2356,2767,3138,3339,3475,3760,4013,4307,4468,4941,5132,5388,5477,5627,5958,6148,6267,6403,6441,6591,6780,7073,7033,7144,7363,7557,7549,7716,7506,7495,7414,7504
187,,Russia,60.0,90.0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,11,11,14,14,17,17,25,42,51,55,82,106,139,189,243,293,350,421,472,626,799,987,1211,1462,1761,2199,2563,3283,3834,4355,4989,5890,6945,8029,9357,11028,12433,14349,16710,19238,22306,25402,29145,33423,39201,43270,48434,53066,57327,62439,67657,73435,79007,84235,88141,93806,100042,107819,116768
188,,Rwanda,-1.9403,29.8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,8,8,17,17,19,36,40,41,50,54,60,70,70,75,82,84,89,102,100,101,98,103,103,111,102,101,85,85,82,78,78,75,71,71,66,69,67,89,95,99,114,117,127,139,140,135,135
189,,Saint Lucia,13.9094,-60.9789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,8,8,12,12,12,12,13,13,13,13,13,13,14,14,11,11,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,2,2,2,2,3
190,,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,6,6,6,7,7,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,7,7,8,8,8,8,8
191,,San Marino,43.9424,12.4578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,9,15,20,20,22,35,35,49,60,66,75,71,92,98,98,104,104,126,120,151,163,162,183,183,198,196,196,192,197,197,194,194,200,199,199,205,205,250,260,268,268,268,282,283,333,339,356,362,362,374,386,398,409,409,433,433,448,453,450,457,456,455
192,,Saudi Arabia,24.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,11,15,19,20,44,85,102,102,116,165,165,268,336,376,495,546,738,869,976,1066,1162,1225,1330,1388,1440,1536,1663,1730,1880,2016,2139,2260,2577,2919,3261,3642,4064,4407,4852,5307,6006,6853,7867,8891,9882,10846,11884,12926,13948,15026,16136,17141,18292,19428,20373,21518,22693
193,,Senegal,14.4974,-14.4524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,3,3,3,3,3,9,9,23,22,24,29,29,36,42,62,74,78,90,96,108,112,115,135,135,144,139,140,145,138,132,130,129,125,126,124,107,111,114,122,139,142,136,144,137,165,183,216,276,331,379,443,518,558,590,659,738,801
194,,Serbia,44.0165,21.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,12,19,35,46,48,54,64,82,102,133,169,219,245,285,365,383,456,649,728,769,884,1032,1140,1437,1580,1857,2142,2386,2601,2801,3034,3306,3550,3969,4371,4774,5215,5046,5240,5443,5635,5783,5985,6070,6245,6476,6704,6904,7069,7259,7487,7487,7747,7720
195,,Seychelles,-4.6796,55.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,6,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
196,,Singapore,1.2833,103.8333,0,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,31,38,43,38,35,43,50,54,57,53,52,50,50,48,48,38,38,38,31,31,31,30,34,30,32,32,39,52,60,72,72,82,82,82,103,107,121,134,152,199,231,261,290,309,363,400,469,509,547,602,629,648,683,752,779,827,886,983,1025,1098,1211,1444,1609,1763,1964,2323,2631,3037,3734,4331,5241,5809,7202,8275,9233,10242,11107,11679,12552,13314,13809,14439,14910,15817,16184,16779
197,,Slovakia,48.669,19.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,10,16,32,44,54,63,72,104,122,136,177,178,179,197,209,224,267,290,312,329,360,396,420,439,460,474,524,566,664,676,690,703,717,660,720,706,802,865,865,920,909,927,946,1022,988,970,967,960,941,885,849,822,775,765
198,,Slovenia,46.1512,14.9955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,16,16,31,57,89,141,180,218,252,274,274,285,340,382,412,439,476,513,546,613,665,709,735,777,816,810,844,876,890,889,921,931,953,978,990,1002,1005,1012,1022,1033,1064,1057,1064,1065,1070,1069,1076,1082,1088,1093,1098,1099,1099,1105,1109,1106,1102
199,,Somalia,5.1521,46.1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,6,6,6,6,7,10,10,19,19,22,56,56,73,73,108,126,154,225,274,274,304,304,364,403,444,481,534,542,542,606,646
200,,South Africa,-30.5595,22.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51,62,62,116,150,202,240,274,402,550,697,915,1138,1155,1247,1292,1317,1325,1407,1401,1481,1549,1579,1641,1732,1821,1569,1593,1738,1835,1978,2062,1654,1830,2079,2201,2187,2352,2515,2405,2668,2802,2986,3230,2830,3174,3471,3453,3664,4103
201,,Spain,40.0,-4.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,11,13,30,43,82,118,162,218,254,393,460,626,1013,1628,2040,2039,4906,5679,6992,9070,10187,12206,16026,17779,21874,24421,30250,33283,40501,46406,51224,54968,58598,63460,68200,72084,74974,77488,80002,80925,82897,84689,85407,85610,86524,87312,87231,87616,86981,88083,90836,96040,96886,100864,98771,100382,100757,101617,88111,87295,86072,85069,84403,79695,76842,76842,74234,73300
202,,Sri Lanka,7.0,81.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,17,27,43,50,57,70,76,79,94,100,99,99,99,103,105,105,124,122,126,131,134,138,135,137,138,134,129,137,147,154,165,168,163,160,161,168,199,201,218,254,304,335,396,455,478,506,502,521,526,527
203,,Sudan,12.8628,30.2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,5,4,4,3,4,6,6,8,8,10,10,11,13,15,15,21,23,23,23,23,50,50,87,87,115,144,144,177,196,232,262,315,372,451,499,499
204,,Suriname,3.9193,-56.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,5,5,7,8,8,8,8,8,8,9,10,10,9,9,9,9,9,6,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0
205,,Sweden,63.0,16.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,101,161,203,247,354,498,597,812,958,1018,1096,1182,1268,1412,1607,1727,1897,2005,2234,2448,2747,2948,3326,3574,3866,4239,4605,5157,5568,5865,6224,6524,6897,7527,8143,8434,8883,9203,9648,10031,10343,10657,11266,11761,12295,12647,13007,13517,14184,14410,14980,15441,15647,16261,16835,17501,17862,18408,18633
